Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
0,00000588,false,Rx,0,8,FF,FF,01,00,81,59,20,06,
